videos	dish	other_names	kept_video	kept_title	other_videos
من مطبخي #فاطمه_ابو_حاتي💪	63i4SOgZMXE LgHpZCa1Qns
3	ناجتس الفراخ		9em5oVNnXSs	اعملي ناجتس الفراخ وفرحي بيه ولادك وهيطلع زي الجاهز بالظبط👌😋♥️.. فاطمة أبو حاتي	cPssYaOkzXU UqpISh43ClM
3	طاجن الرز المعمر		5gy9d1h3wOA	طاجن أرز المعمر البلدي الاصلي 😍بطعم وريحة زمان👌😋طاجن يشرفك في عزومات #رمضان 🌙	suD8QH833Eo QJbhRXSoyMA
3	فراخ بروستد		Dg01TeCJaDU	من النهارده مفيش كنتاكي احنا كنتاكي😂😂البروستد علي اصوله 👌😋 من مطبخي #فاطمه_ابوحا	GAosWG06PZY tAcFE4FLU4w
3	غريبة		wcv1p94s2N8	ياناعمه ياغريبه  😁😁أحلي غريبه بأسهل مقادير  👍👍من مطبخي #فاطمه_ابو_حاتي	cTGb1L6cbKw lxr10DDfqdo
3	بسبوسة		8UN_bVIo7AM	كل اسرار البسبوسه وازاي تعملي الخليط الجاهز ( البسبوسه كما يجب ان تكون ) ✌️😋	wMtuujYGnK0 Tu7TpKL89GQ
3	زلابية		laxvyK5foAs	سر الزلابيه المقرمشه بتاعت المحلات 😋😉 أسهل طريقة و اجمل طعم 😍 | فاطمه أبو حاتي	Tmzv9BCxShc NGd8qQyEiDM
3	عاشوراء		_kGOMo9c3r8	عاشورا كريميه و لذيذه بطريقتي 😋😍 #فاطمه_ابو_حاتي 💪	d5zB23XrxVU NkNjF2GKyBo
3	فطير شرقي	فطيرة شرقي	eruQZsWaq4U	الله على ريحه الخبيز فى البيت وسط دفا العيلة ولمه الحبايب..فطير شرقي حلو وحادق م	2yMskf2YM-s dWaz0pr6PBQ
3	كوردن بلو	كوردون بلو	N1q2Kg8in5w	وصفة فى حته تانيه خالص ... مبتطلعش غير فى العزومات والحبايب اللى جوه القلب ♥️كور	3W2lB0KTOqY FpKZL-_bQhA
2	مكرونة بالصلصة		ZLWtOP1YM48	انسي ان البانيه يفك منك تاني هاقولك كل الاسرار ومكرونه بالصلصه هاتحلفوا بلونها و	rNs4rE1gjNQ
